Winner,Loser,Odds
Berankis R.,Kudla D.,1.56:2.43
Basilashvili N.,Bautista Agut R.,3.08:1.37
Fucsovics M.,Struff J.L.,1.6:2.33
Monfils G.,Baghdatis M.,1.14:5.82
Tsitsipas S.,Gerasimov E.,1.22:4.3
Federer R.,Verdasco F.,1.16:5.3
Coric B.,Berdych T.,2.06:1.76
Monfils G.,Berankis R.,1.18:4.83
Tsitsipas S.,Hurkacz H.,1.22:4.36
Federer R.,Fucsovics M.,1.17:5.05
Coric B.,Basilashvili N.,1.82:1.99
Tsitsipas S.,Monfils G.,2.05:1.78
Federer R.,Coric B.,1.38:3.07
Federer R.,Tsitsipas S.,1.32:3.44
Garin C.,Sousa P.,1.27:3.72
Carballes Baena R.,Marterer M.,2.08:1.75
Trungelliti M.,Daniel T.,2.31:1.61
