Winner,Loser,Odds
Cecchinato M.,Paul T.,1.54:2.47
Ramos-Vinolas A.,Moutet C.,1.9:1.88
Djere L.,Vesely J.,1.81:1.98
Musetti L.,Hanfmann Y.,1.76:2.06
Cecchinato M.,Ramos-Vinolas A.,1.77:2.05
Petrovic D.,Delbonis F.,3.99:1.24
Djere L.,Musetti L.,2.22:1.66
Cecchinato M.,Petrovic D.,1.21:4.49
Djere L.,Cecchinato M.,2.53:1.52
Karatsev A.,Sandgren T.,2.28:1.61
Norrie C.,Fritz T.,3.03:1.38
Bublik A.,Mcdonald M.,1.45:2.72
Donskoy E.,Gerasimov E.,3.25:1.34
Wawrinka S.,Evans D.,1.52:2.52
Coric B.,Lopez F.,1.38:3.03
Ivashka I.,Mannarino A.,2.09:1.73
Raonic M.,Wolf J.J.,1.29:3.6
Kecmanovic M.,Kukushkin M.,1.58:2.37
Khachanov K.,Duckworth J.,1.1:7.13
Rublev A.,Pospisil V.,1.4:2.92
Opelka R.,Serdarusic N.,1.2:4.5
Shapovalov D.,Troicki V.,1.11:6.55
Safiullin R.,Gomez E.,1.54:2.46
Humbert U.,Kotov P.,1.2:4.49
Medvedev D.,Gasquet R.,1.12:6.12
Norrie C.,Kecmanovic M.,2.33:1.6
Wawrinka S.,Donskoy E.,1.19:4.66
Shapovalov D.,Ivashka I.,1.18:4.74
Coric B.,Safiullin R.,1.2:4.59
Rublev A.,Humbert U.,1.16:5.18
Opelka R.,Medvedev D.,4.78:1.19
Khachanov K.,Karatsev A.,1.23:4.09
Raonic M.,Bublik A.,1.39:2.98
Rublev A.,Norrie C.,1.11:6.61
Shapovalov D.,Wawrinka S.,1.48:2.66
Coric B.,Opelka R.,1.88:1.93
Raonic M.,Khachanov K.,1.47:2.68
Rublev A.,Shapovalov D.,1.63:2.27
Coric B.,Raonic M.,3.23:1.35
Rublev A.,Coric B.,1.25:3.93
Lopez F.,Paul T.,2.36:1.59
Tiafoe F.,Lajovic D.,1.5:2.59
Humbert U.,Coppejans K.,1.12:6.37
Evans D.,Caruso S.,1.26:3.84
Norrie C.,Ruusuvuori E.,2.38:1.57
Giron M.,Nardi L.,1.1:7.1
Andujar P.,Coria F.,1.39:3.0
Harris L.,Moutet C.,1.51:2.56
De Minaur A.,Gasquet R.,1.29:3.6
Bergs Z.,Ramos-Vinolas A.,3.21:1.35
Raonic M.,Bedene A.,1.14:5.65
Fritz T.,Opelka R.,1.76:2.05
Humbert U.,Carreno Busta P.,1.97:1.83
Evans D.,Tiafoe F.,1.84:1.97
Dimitrov G.,Andujar P.,1.15:5.36
De Minaur A.,Lopez F.,1.25:3.98
Raonic M.,Norrie C.,1.14:5.56
Harris L.,Fritz T.,2.63:1.49
Khachanov K.,Bergs Z.,1.09:7.16
Giron M.,Goffin D.,3.11:1.37
Humbert U.,Harris L.,1.52:2.52
Evans D.,Khachanov K.,1.69:2.18
De Minaur A.,Giron M.,1.13:5.88
Dimitrov G.,Raonic M.,2.71:1.43
Humbert U.,Evans D.,1.6:2.35
De Minaur A.,Dimitrov G.,1.56:2.44
Humbert U.,De Minaur A.,2.58:1.51
Simon G.,Thompson J.,1.42:2.85
Kecmanovic M.,Nagal S.,1.16:5.07
Nishioka Y.,Edmund K.,2.43:1.55
Gerasimov E.,Altmaier D.,1.78:2.02
Mannarino A.,Popyrin A.,1.63:2.27
Johnson S.,Cilic M.,3.18:1.35
Davidovich Fokina A.,Dzumhur D.,1.55:2.45
Herbert P.H.,Sandgren T.,1.58:2.38
Sinner J.,Duckworth J.,1.11:6.53
Otte O.,Novak D.,3.18:1.35
Millman J.,Verdasco F.,1.74:2.08
Struff J.L.,Cecchinato M.,1.16:5.26
Mannarino A.,Kecmanovic M.,1.89:1.9
Davidovich Fokina A.,Johnson S.,1.54:2.46
Zverev A.,Millman J.,1.11:6.42
Auger-Aliassime F.,Gerasimov E.,1.27:3.68
Sinner J.,Herbert P.H.,1.2:4.52
Simon G.,Shapovalov D.,3.91:1.25
Schwartzman D.,Otte O.,1.24:4.0
Nishioka Y.,Struff J.L.,2.25:1.63
Sinner J.,Simon G.,1.23:4.07
Schwartzman D.,Davidovich Fokina A.,1.31:3.4
Zverev A.,Mannarino A.,1.14:5.74
Auger-Aliassime F.,Nishioka Y.,1.46:2.69
Zverev A.,Sinner J.,1.84:1.95
Schwartzman D.,Auger-Aliassime F.,1.79:2.03
Zverev A.,Schwartzman D.,1.51:2.56
Albot R.,Popko D.,1.69:2.14
Verdasco F.,Duckworth J.,1.48:2.62
Paul T.,Travaglia S.,1.63:2.25
Tiafoe F.,Moutet C.,1.46:2.68
Thompson J.,Norrie C.,2.36:1.58
Vesely J.,Sandgren T.,2.34:1.59
Sugita Y.,Dzumhur D.,3.23:1.34
Gerasimov E.,Harris L.,1.76:2.04
Ruusuvuori E.,Skatov T.,1.08:7.69
Seppi A.,Karatsev A.,3.32:1.32
Kukushkin M.,Delbonis F.,1.36:3.1
Mcdonald M.,Bublik A.,2.6:1.48
Paul T.,Albot R.,1.4:2.91
Tiafoe F.,Kecmanovic M.,1.6:2.3
Gerasimov E.,Vesely J.,1.61:2.3
Millman J.,Verdasco F.,1.48:2.62
Ruusuvuori E.,Thompson J.,1.43:2.82
Mannarino A.,Sugita Y.,1.35:3.18
Mcdonald M.,Seppi A.,1.45:2.73
Kukushkin M.,Paire B.,1.39:2.96
Tiafoe F.,Gerasimov E.,1.65:2.23
Millman J.,Paul T.,1.91:1.88
Mannarino A.,Mcdonald M.,1.47:2.68
Ruusuvuori E.,Kukushkin M.,1.5:2.58
Millman J.,Tiafoe F.,2.21:1.66
Mannarino A.,Ruusuvuori E.,1.92:1.88
Millman J.,Mannarino A.,2.26:1.63
Coric B.,Fritz T.,1.48:2.64
Anderson K.,Novak D.,1.5:2.57
Carreno Busta P.,Monfils G.,1.49:2.61
Rublev A.,Gombos N.,1.06:9.08
Rodionov J.,Shapovalov D.,6.72:1.1
Dimitrov G.,Khachanov K.,1.77:2.04
Hurkacz H.,Balazs A.,1.1:7.09
Djokovic N.,Krajinovic F.,1.07:8.57
Evans D.,Bedene A.,1.66:2.21
Sonego L.,Lajovic D.,1.81:1.99
Thiem D.,Sachko V.,1.01:17.12
Garin C.,Wawrinka S.,3.8:1.26
Medvedev D.,Jung J.,1.06:9.69
Sinner J.,Ruud C.,1.22:4.24
Tsitsipas S.,Struff J.L.,1.28:3.62
Pospisil V.,Auger-Aliassime F.,2.52:1.53
Djokovic N.,Coric B.,1.1:7.11
Anderson K.,Carreno Busta P.,2.52:1.52
Evans D.,Rodionov J.,1.29:3.6
Sonego L.,Hurkacz H.,2.7:1.46
Medvedev D.,Pospisil V.,1.24:4.05
Rublev A.,Sinner J.,1.42:2.83
Thiem D.,Garin C.,1.12:6.14
Dimitrov G.,Tsitsipas S.,2.84:1.43
Anderson K.,Medvedev D.,4.17:1.23
Rublev A.,Thiem D.,2.05:1.77
Sonego L.,Djokovic N.,15.25:1.02
Evans D.,Dimitrov G.,2.89:1.42
Rublev A.,Anderson K.,1.22:4.36
Sonego L.,Evans D.,2.51:1.53
Rublev A.,Sonego L.,1.14:5.85
Coric B.,Fucsovics M.,1.44:2.8
Albot R.,Hurkacz H.,3.49:1.3
Lopez F.,Krajinovic F.,3.87:1.26
Giron M.,Ramos-Vinolas A.,1.36:3.17
Moutet C.,Caruso S.,1.82:2.0
Thompson J.,Delbonis F.,1.59:2.37
Gombos N.,Cecchinato M.,1.57:2.4
Struff J.L.,Basilashvili N.,1.14:5.77
Humbert U.,Ruud C.,1.35:3.21
De Minaur A.,Travaglia S.,1.17:5.22
Bonzi B.,Coria F.,1.36:3.18
Cilic M.,Auger-Aliassime F.,3.13:1.37
Davidovich Fokina A.,Khachanov K.,2.37:1.59
Carreno Busta P.,Gaston H.,1.26:3.89
Nishioka Y.,Andujar P.,1.27:3.79
Raonic M.,Bedene A.,1.2:4.6
Wawrinka S.,Evans D.,1.49:2.64
Anderson K.,Djere L.,1.25:3.96
Gasquet R.,Fritz T.,2.19:1.68
Herbert P.H.,Sandgren T.,1.57:2.41
Sonego L.,Bublik A.,1.7:2.15
Paul T.,Simon G.,2.61:1.5
Mannarino A.,Lajovic D.,1.78:2.03
Kecmanovic M.,Millman J.,1.68:2.19
Gombos N.,Goffin D.,2.2:1.68
Cilic M.,Moutet C.,1.36:3.13
Carreno Busta P.,Struff J.L.,1.84:1.97
Humbert U.,Tsitsipas S.,2.73:1.46
Giron M.,Berrettini M.,3.15:1.36
Medvedev D.,Anderson K.,1.38:3.04
Davidovich Fokina A.,Bonzi B.,1.23:4.15
Schwartzman D.,Gasquet R.,1.48:2.64
Mannarino A.,Nishioka Y.,1.88:1.93
Raonic M.,Herbert P.H.,1.16:5.34
De Minaur A.,Sonego L.,1.44:2.81
Zverev A.,Kecmanovic M.,1.33:3.34
Thompson J.,Coric B.,5.12:1.17
Nadal R.,Lopez F.,1.08:8.31
Rublev A.,Albot R.,1.07:8.82
Wawrinka S.,Paul T.,1.39:2.98
Schwartzman D.,Davidovich Fokina A.,1.45:2.75
Medvedev D.,De Minaur A.,1.57:2.44
Raonic M.,Giron M.,1.13:6.2
Humbert U.,Cilic M.,1.57:2.43
Carreno Busta P.,Gombos N.,1.3:3.58
Nadal R.,Thompson J.,1.05:10.31
Zverev A.,Mannarino A.,1.17:5.05
Wawrinka S.,Rublev A.,4.65:1.2
Medvedev D.,Schwartzman D.,1.44:2.81
Raonic M.,Humbert U.,1.37:3.14
Nadal R.,Carreno Busta P.,1.16:5.31
Zverev A.,Wawrinka S.,1.45:2.78
Medvedev D.,Raonic M.,1.48:2.66
Zverev A.,Nadal R.,2.42:1.57
Medvedev D.,Zverev A.,1.91:1.9
Millman J.,Andreev A.,1.13:5.93
Albot R.,Sugita Y.,1.5:2.57
Huesler M.A.,Basilashvili N.,2.42:1.7
Pospisil V.,Marchenko I.,1.15:5.41
Mannarino A.,Klizan M.,1.28:3.61
Karatsev A.,Daniel T.,1.75:2.07
Caruso S.,Kuzmanov D.,1.34:3.23
Gerasimov E.,Troicki V.,1.38:3.05
Forejtek J.,Cilic M.,6.96:1.1
Gasquet R.,Carballes Baena R.,1.21:4.37
Simon G.,Martin A.,1.11:6.73
Sinner J.,Fucsovics M.,1.54:2.46
Albot R.,Shapovalov D.,3.91:1.25
Pospisil V.,Struff J.L.,2.04:1.78
Millman J.,Simon G.,2.09:1.74
Mannarino A.,Gerasimov E.,1.77:2.05
De Minaur A.,Karatsev A.,1.19:4.61
Sinner J.,Huesler M.A.,1.12:6.26
Caruso S.,Auger-Aliassime F.,3.95:1.24
Gasquet R.,Forejtek J.,1.24:4.01
Mannarino A.,Albot R.,1.54:2.47
Sinner J.,De Minaur A.,1.71:2.14
Pospisil V.,Millman J.,1.62:2.3
Gasquet R.,Caruso S.,1.38:3.04
Sinner J.,Mannarino A.,1.25:3.92
Pospisil V.,Gasquet R.,1.53:2.5
Sinner J.,Pospisil V.,1.43:2.82
Thiem D.,Tsitsipas S.,1.94:1.87
Nadal R.,Rublev A.,1.56:2.43
Djokovic N.,Schwartzman D.,1.11:6.75
Medvedev D.,Zverev A.,1.71:2.16
Thiem D.,Nadal R.,2.64:1.49
Tsitsipas S.,Rublev A.,1.76:2.09
Zverev A.,Schwartzman D.,1.31:3.5
Medvedev D.,Djokovic N.,3.06:1.38
Rublev A.,Thiem D.,2.39:1.59
Nadal R.,Tsitsipas S.,1.39:3.05
Djokovic N.,Zverev A.,1.31:3.52
Medvedev D.,Schwartzman D.,1.29:3.6
Thiem D.,Djokovic N.,2.47:1.56
Medvedev D.,Nadal R.,1.8:2.04
Medvedev D.,Thiem D.,1.66:2.26
Basilashvili N.,Arnaboldi A.,1.56:2.42
Celikbilek A.,Zuk K.,2.57:1.5
Ruusuvuori E.,Vesely J.,1.52:2.53
Bublik A.,Caruso S.,1.72:2.11
Goffin D.,Herbert P.H.,1.44:2.78
Travaglia S.,Kecmanovic M.,2.71:1.45
Struff J.L.,Kotov P.,1.22:4.16
Lamasine T.,Gerasimov E.,5.12:1.16
Andreev A.,Ilhan M.,1.22:4.24
Grenier H.,Molcan A.,1.87:1.92
Berrettini M.,Kirkin E.,1.02:13.94
Chardy J.,Albot R.,2.11:1.71
De Minaur A.,Jaziri M.,1.03:12.68
Kuhn N.,Bachinger M.,2.42:1.56
Fognini F.,Vrbensky M.,1.43:2.8
Kuzmanov D.,Djere L.,2.6:1.49
De Minaur A.,Andreev A.,1.07:8.57
Basilashvili N.,Celikbilek A.,1.41:2.87
Travaglia S.,Ruusuvuori E.,2.61:1.49
Goffin D.,Kuhn N.,1.1:6.82
Chardy J.,Fognini F.,2.2:1.66
Bublik A.,Lamasine T.,1.21:4.35
Struff J.L.,Grenier H.,1.2:4.54
Berrettini M.,Kuzmanov D.,1.07:8.72
Goffin D.,Travaglia S.,1.34:3.25
Chardy J.,Struff J.L.,2.65:1.48
Bublik A.,Berrettini M.,3.49:1.3
De Minaur A.,Basilashvili N.,1.11:6.76
De Minaur A.,Goffin D.,1.57:2.41
Bublik A.,Chardy J.,1.44:2.8
De Minaur A.,Bublik A.,1.21:4.43
Monteiro T.,Bellucci T.,1.36:3.1
Paul T.,Nam J.S.,1.13:6.0
Mager G.,Harrison R.,2.18:1.68
Korda S.,Kwon S.W.,1.74:2.09
Querrey S.,Mcdonald M.,1.87:1.92
Harrison C.,Etcheverry T.,1.39:3.01
Galan D.E.,Martin A.,1.46:2.7
Quiroz R.,Rubin N.,2.07:1.76
Fratangelo B.,King K.,1.5:2.57
Norrie C.,Aragone J.C.,1.18:4.85
Karlovic I.,Andujar P.,2.72:1.46
Tiafoe F.,Young D.,1.19:4.69
Mager G.,Querrey S.,3.84:1.25
Harrison C.,Garin C.,2.55:1.51
Korda S.,Paul T.,2.45:1.54
Isner J.,Monteiro T.,1.47:2.67
Hurkacz H.,Galan D.E.,1.36:3.12
Tiafoe F.,Fratangelo B.,1.29:3.53
Quiroz R.,Karlovic I.,2.22:1.66
Norrie C.,Mannarino A.,1.84:1.95
Harrison C.,Mager G.,1.69:2.18
Hurkacz H.,Quiroz R.,1.15:5.4
Korda S.,Isner J.,2.1:1.74
Norrie C.,Tiafoe F.,2.04:1.78
Hurkacz H.,Harrison C.,1.37:3.13
Korda S.,Norrie C.,1.69:2.17
Hurkacz H.,Korda S.,1.81:2.0
Vukic A.,Lu Y.,1.17:4.95
Majchrzak K.,Djere L.,1.44:2.76
Bedene A.,Uchiyama Y.,1.33:3.29
O Connell C.,Koepfer D.,2.27:1.62
Purcell M.,Gombos N.,2.76:1.44
Kwon S.W.,Martin A.,1.26:3.81
Travaglia S.,Carballes Baena R.,1.41:2.86
Anderson K.,Lopez F.,1.4:2.9
Caruso S.,Seppi A.,1.72:2.11
Sandgren T.,Smith J.P.,1.66:2.21
Herbert P.H.,Cressy M.,1.46:2.71
Cuevas P.,Andujar P.,2.14:1.7
Sweeny D.,Nam J.S.,2.1:1.72
Alcaraz C.,Balazs A.,1.26:3.75
Thompson J.,Mager G.,1.38:3.01
Haase R.,Coppejans K.,1.63:2.25
Querrey S.,Laaksonen H.,1.53:2.48
Torpegaard M.,Martinez P.,2.34:1.59
Ebden M.,Delbonis F.,2.65:1.45
Vilella Martinez M.,Hanfmann Y.,2.52:1.51
Stebe C.M.,Dellien H.,1.24:4.04
Stakhovsky S.,Safiullin R.,2.86:1.41
Monteiro T.,Fancutt T.,1.15:5.53
Van De Zandschulp B.,Schoolkate T.,1.36:3.1
Sinner J.,Vukic A.,1.13:5.91
Caruso S.,Sandgren T.,1.8:2.01
Bedene A.,Sweeny D.,1.14:5.56
Hurkacz H.,Torpegaard M.,1.25:3.92
Kecmanovic M.,Kwon S.W.,1.63:2.26
Travaglia S.,Querrey S.,2.18:1.68
Cuevas P.,Haase R.,2.19:1.67
Thompson J.,Herbert P.H.,1.65:2.22
Monteiro T.,Ebden M.,1.6:2.32
Van De Zandschulp B.,Majchrzak K.,2.12:1.71
Opelka R.,Stakhovsky S.,1.31:3.35
Bublik A.,O Connell C.,1.51:2.53
Vilella Martinez M.,Basilashvili N.,2.2:1.66
Khachanov K.,Purcell M.,1.13:5.71
Alcaraz C.,Goffin D.,3.32:1.32
Anderson K.,Stebe C.M.,1.2:4.38
Thompson J.,Vilella Martinez M.,1.34:3.23
Monteiro T.,Alcaraz C.,2.97:1.39
Khachanov K.,Anderson K.,2.33:1.6
Sinner J.,Bedene A.,1.26:3.75
Van De Zandschulp B.,Opelka R.,2.73:1.45
Kecmanovic M.,Caruso S.,1.44:2.76
Travaglia S.,Bublik A.,2.25:1.64
Hurkacz H.,Cuevas P.,1.24:4.03
Monteiro T.,Thompson J.,2.51:1.51
Sinner J.,Kecmanovic M.,1.27:3.77
Khachanov K.,Van De Zandschulp B.,1.29:3.54
Travaglia S.,Hurkacz H.,2.9:1.4
Travaglia S.,Monteiro T.,1.72:2.12
Sinner J.,Khachanov K.,1.41:2.89
Sinner J.,Travaglia S.,1.23:4.21
Moutet C.,Tiafoe F.,2.93:1.39
Gerasimov E.,Harris L.,2.09:1.74
Paul T.,Norrie C.,1.7:2.14
Mcdonald M.,Gasquet R.,2.65:1.47
Coria F.,Albot R.,3.55:1.29
Kubler J.,Sonego L.,2.92:1.4
Fucsovics M.,Cecchinato M.,1.16:5.03
Sousa P.,Tu L.,2.55:1.5
Ramos-Vinolas A.,Mott B.,1.42:2.83
Bolt A.,Kokkinakis T.,2.89:1.41
Berankis R.,Nagal S.,1.29:3.52
Chardy J.,Cilic M.,2.25:1.63
Bourchier H.,Polmans M.,2.78:1.43
Mannarino A.,Ymer M.,1.44:2.74
Giron M.,Mmoh M.,2.11:1.73
Duckworth J.,Machac T.,2.42:1.56
Kukushkin M.,Londero J.I.,1.48:2.64
Popyrin A.,Gojo B.,1.62:2.27
Sugita Y.,Halys Q.,2.45:1.56
Vesely J.,Ferreira Silva F.,1.5:2.55
Kyrgios N.,Muller A.,1.13:5.68
Harris A.,Daniel T.,2.97:1.39
Simon G.,Ymer E.,1.42:2.81
Ruusuvuori E.,Troicki V.,1.3:3.45
Berankis R.,Kubler J.,1.48:2.62
Gerasimov E.,Fucsovics M.,1.46:1.54
Giron M.,Mannarino A.,2.11:1.73
Evans D.,Sousa P.,1.15:5.3
Bolt A.,Mcdonald M.,3.1:1.36
Popyrin A.,Paul T.,2.6:1.49
Wawrinka S.,Kukushkin M.,1.35:3.16
Duckworth J.,Humbert U.,3.36:1.32
Vesely J.,Ruud C.,2.04:1.77
Chardy J.,Simon G.,1.98:1.81
Coric B.,Ruusuvuori E.,1.65:2.21
Kyrgios N.,Bourchier H.,1.13:5.72
Auger-Aliassime F.,Sugita Y.,1.14:5.5
Fritz T.,Coria F.,1.13:5.69
Dimitrov G.,Harris A.,1.15:5.36
Moutet C.,Ramos-Vinolas A.,1.48:2.62
Coric B.,Kyrgios N.,1.75:2.07
Evans D.,Giron M.,1.52:2.49
Chardy J.,Fritz T.,2.29:1.62
Moutet C.,Duckworth J.,1.73:2.1
Vesely J.,Berankis R.,2.02:1.79
Wawrinka S.,Bolt A.,1.29:3.55
Auger-Aliassime F.,Gerasimov E.,1.37:3.06
Dimitrov G.,Popyrin A.,1.36:3.13
Evans D.,Coric B.,2.66:1.48
Chardy J.,Wawrinka S.,1.88:1.9
Auger-Aliassime F.,Vesely J.,1.51:2.57
Moutet C.,Dimitrov G.,3.05:1.42
Evans D.,Chardy J.,1.72:2.12
Auger-Aliassime F.,Moutet C.,1.38:3.03
Evans D.,Auger-Aliassime F.,2.25:1.65
Raonic M.,Coria F.,1.01:21.38
Mannarino A.,Novak D.,1.68:2.19
Ruusuvuori E.,Monfils G.,1.56:2.42
Moutet C.,Millman J.,2.78:1.44
Opelka R.,Lu Y.,1.04:11.4
Wawrinka S.,Sousa P.,1.08:8.13
Bolt A.,Gombos N.,1.74:2.09
Martinez P.,Nishioka Y.,3.0:1.38
Fritz T.,Ramos-Vinolas A.,1.15:5.47
Fucsovics M.,Polmans M.,1.19:4.58
Thiem D.,Kukushkin M.,1.02:15.11
Karatsev A.,Mager G.,1.24:4.0
Kecmanovic M.,Majchrzak K.,1.42:2.87
Zverev A.,Giron M.,1.06:9.63
Bublik A.,Bedene A.,1.95:1.86
Gerasimov E.,Paire B.,1.15:5.36
Duckworth J.,Dzumhur D.,1.38:3.02
Vesely J.,Coppejans K.,1.25:3.91
Humbert U.,Uchiyama Y.,1.14:5.8
Muller A.,Londero J.I.,1.83:1.99
Carreno Busta P.,Nishikori K.,1.3:3.51
Tiafoe F.,Travaglia S.,1.29:3.55
Dimitrov G.,Cilic M.,1.52:2.54
Koepfer D.,Dellien H.,1.21:4.42
Lajovic D.,Stakhovsky S.,1.35:3.18
Auger-Aliassime F.,Stebe C.M.,1.14:5.64
Schwartzman D.,Ymer E.,1.04:11.74
Tomic B.,Sugita Y.,2.11:1.73
Kyrgios N.,Ferreira Silva F.,1.14:5.61
Cressy M.,Daniel T.,2.14:1.71
Djokovic N.,Chardy J.,1.01:23.28
Shapovalov D.,Sinner J.,1.46:2.7
Harris L.,Torpegaard M.,1.37:3.07
Mcdonald M.,Cecchinato M.,1.35:3.16
Monteiro T.,Martin A.,1.22:4.24
O Connell C.,Struff J.L.,4.29:1.22
Coric B.,Pella G.,1.16:5.34
Alcaraz C.,Van De Zandschulp B.,1.7:2.15
Ymer M.,Hurkacz H.,4.85:1.18
Rublev A.,Hanfmann Y.,1.01:19.82
Popyrin A.,Goffin D.,2.93:1.4
Khachanov K.,Vukic A.,1.1:6.93
Albot R.,Bautista Agut R.,11.43:1.04
Cuevas P.,Seppi A.,1.67:2.2
Krajinovic F.,Haase R.,1.2:4.47
Andujar P.,Halys Q.,2.75:1.45
Berankis R.,Nagal S.,1.12:6.45
Medvedev D.,Pospisil V.,1.04:11.62
Lopez F.,Tu L.,1.33:3.35
Sonego L.,Querrey S.,1.8:2.01
Paul T.,Basilashvili N.,1.22:4.27
Nadal R.,Djere L.,1.01:19.14
Caruso S.,Laaksonen H.,1.54:2.47
Mmoh M.,Troicki V.,1.63:2.28
De Minaur A.,Sandgren T.,1.12:6.3
Carballes Baena R.,Balazs A.,1.09:7.43
Norrie C.,Evans D.,3.0:1.39
Machac T.,Vilella Martinez M.,1.45:2.74
Fognini F.,Herbert P.H.,1.69:2.16
Ruud C.,Thompson J.,1.8:2.01
Kokkinakis T.,Kwon S.W.,1.67:2.21
Berrettini M.,Anderson K.,1.35:3.22
Safiullin R.,Ivashka I.,1.61:2.33
Tsitsipas S.,Simon G.,1.04:11.11
Karatsev A.,Gerasimov E.,1.58:2.39
Fucsovics M.,Wawrinka S.,2.9:1.41
Martinez P.,Ruusuvuori E.,2.96:1.4
Auger-Aliassime F.,Duckworth J.,1.21:4.43
Schwartzman D.,Muller A.,1.08:8.26
Raonic M.,Moutet C.,1.13:6.14
Djokovic N.,Tiafoe F.,1.01:19.55
Thiem D.,Koepfer D.,1.04:11.65
Lajovic D.,Bublik A.,2.94:1.41
Fritz T.,Opelka R.,1.7:2.15
Shapovalov D.,Tomic B.,1.07:8.37
Mannarino A.,Kecmanovic M.,2.17:1.7
Carreno Busta P.,Vesely J.,1.2:4.57
Kyrgios N.,Humbert U.,1.79:2.02
Zverev A.,Cressy M.,1.06:9.84
Dimitrov G.,Bolt A.,1.2:4.5
Lopez F.,Sonego L.,3.92:1.25
Rublev A.,Monteiro T.,1.03:12.39
Harris L.,Popyrin A.,1.64:2.25
Ymer M.,Alcaraz C.,2.53:1.52
Ruud C.,Paul T.,1.72:2.11
Khachanov K.,Berankis R.,1.26:3.79
Krajinovic F.,Andujar P.,1.12:6.12
Tsitsipas S.,Kokkinakis T.,1.09:7.48
Berrettini M.,Machac T.,1.06:9.51
Mcdonald M.,Coric B.,4.73:1.18
Albot R.,O Connell C.,2.45:1.55
Fognini F.,Caruso S.,1.43:2.8
Norrie C.,Safiullin R.,1.37:3.11
De Minaur A.,Cuevas P.,1.07:8.23
Medvedev D.,Carballes Baena R.,1.01:21.79
Nadal R.,Mmoh M.,1.01:18.7
Dimitrov G.,Carreno Busta P.,1.75:2.08
Zverev A.,Mannarino A.,1.14:5.68
Lajovic D.,Martinez P.,1.73:2.11
Karatsev A.,Schwartzman D.,3.33:1.33
Raonic M.,Fucsovics M.,1.13:6.02
Auger-Aliassime F.,Shapovalov D.,2.72:1.46
Thiem D.,Kyrgios N.,1.25:3.95
Djokovic N.,Fritz T.,1.01:19.34
Ruud C.,Albot R.,1.32:3.4
Mcdonald M.,Harris L.,2.09:1.75
Medvedev D.,Krajinovic F.,1.05:10.07
Tsitsipas S.,Ymer M.,1.04:12.17
Rublev A.,Lopez F.,1.03:13.97
Berrettini M.,Khachanov K.,1.4:2.95
Fognini F.,De Minaur A.,5.59:1.14
Nadal R.,Norrie C.,1.02:15.15
Karatsev A.,Auger-Aliassime F.,2.53:1.52
Dimitrov G.,Thiem D.,3.45:1.31
Zverev A.,Lajovic D.,1.06:9.75
Djokovic N.,Raonic M.,1.46:2.73
Medvedev D.,Mcdonald M.,1.04:12.13
Rublev A.,Ruud C.,1.09:7.46
Nadal R.,Fognini F.,1.15:5.43
Tsitsipas S.,Berrettini M.,1.26:3.9
Karatsev A.,Dimitrov G.,3.42:1.32
Djokovic N.,Zverev A.,1.58:2.4
Medvedev D.,Rublev A.,1.42:2.89
Tsitsipas S.,Nadal R.,2.9:1.42
Djokovic N.,Karatsev A.,1.07:8.72
Medvedev D.,Tsitsipas S.,1.41:2.97
Djokovic N.,Medvedev D.,1.84:2.0
Kovalik J.,Galan D.E.,2.15:1.7
Jarry N.,Munar J.,3.52:1.3
Carballes Baena R.,Sousa J.,1.26:3.82
Cecchinato M.,Dellien H.,1.37:3.1
Coria F.,Koepfer D.,1.67:2.2
Cerundolo J.M.,Seyboth Wild T.,2.96:1.4
Bagnis F.,Kicker N.,1.21:4.39
Etcheverry T.,Martin A.,1.81:2.0
Ramos-Vinolas A.,Londero J.I.,2.17:1.69
Cerundolo F.,Mager G.,1.58:2.38
Delbonis F.,Sousa P.,1.53:2.5
Monteiro T.,Menezes J.,1.25:3.9
Kovalik J.,Barrios M.,1.62:2.28
Coria F.,Cerundolo F.,2.27:1.63
Bagnis F.,Delbonis F.,2.09:1.74
Paire B.,Jarry N.,2.61:1.49
Monteiro T.,Carballes Baena R.,1.4:2.9
Cerundolo J.M.,Kecmanovic M.,2.8:1.44
Schwartzman D.,Cecchinato M.,1.32:3.36
Ramos-Vinolas A.,Etcheverry T.,1.58:2.37
Cerundolo J.M.,Monteiro T.,3.78:1.27
Coria F.,Paire B.,1.79:2.0
Bagnis F.,Kovalik J.,1.52:2.53
Ramos-Vinolas A.,Schwartzman D.,6.56:1.11
Cerundolo J.M.,Coria F.,2.72:1.46
Ramos-Vinolas A.,Bagnis F.,1.73:2.12
Cerundolo J.M.,Ramos-Vinolas A.,2.6:1.5
Humbert U.,Gombos N.,1.19:4.7
Sonego L.,Gaston H.,1.42:2.83
Korda S.,Tsonga J.W.,1.39:2.97
Griekspoor T.,Giron M.,2.39:1.57
Gojowczyk P.,Struff J.L.,3.14:1.35
Bonzi B.,Pouille L.,1.63:2.27
Vesely J.,Ymer M.,1.89:1.9
Novak D.,Simon G.,2.22:1.65
Gerasimov E.,Murray A.,2.53:1.51
Davidovich Fokina A.,Zapata Miralles B.,1.63:2.27
Bedene A.,Sinner J.,4.53:1.2
Barrere G.,Basilashvili N.,1.56:2.43
Sonego L.,Korda S.,2.39:1.57
Humbert U.,Griekspoor T.,1.22:4.25
Goffin D.,Bonzi B.,1.59:2.35
Gerasimov E.,Bedene A.,2.06:1.75
Gojowczyk P.,Vesely J.,2.5:1.52
Davidovich Fokina A.,Hurkacz H.,2.22:1.65
Novak D.,Lajovic D.,1.99:1.82
